Naziv,cena,kraj_ogleda,barva,notranjost,st.vrat,oblika,menjalnik,gorivo,novo/rabljeno,prevozeni_km,leto_1.reg,mesec_1.reg,mocKW,mocKM
Renault Megane 1.5DCI 105 DYNAMIQUE, 1.450 €,8220 Šmarješke Toplice,beige metalik,temno siva / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,235000,2007,3,78 kW ,106 KM
Renault Megane dCi 110-SLOVENSKI-SAMO 146.000KM-LED-1LAST-KLJUKA-, 9.850 €,MESTINJE 11,temno siva metalik,črna / blago,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno / ima garancijo / ima jamstvo,146775,2017,5,81 kW ,110 KM
Renault Megane Energy dCi 90 ZEN, 8.480 €,4220 Škofja Loka,črna metalik,/,4 vr.,limuzina,ročni menjalnik (6 pr.),diesel motor,rabljeno,177000,2016,12,66 kW ,90 KM
Renault Megane dCi 115 PS |37 000KM| 1.LASTNIK |12M JAMSTVO, 17.950 €,LETALIŠKA CESTA 12,srebrna metalik,črna / blago,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno / ima jamstvo,37000,2021,3,85 kW ,116 KM
Renault Megane 1.5DCI 85 TEAM, 1.350 €,2250 Ptuj,srebrna,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),diesel motor,rabljeno,295168,2007,12,63 kW ,86 KM
Renault Megane 1.6 DCI- GT LINE-NAVI-XENON-LED-PDC-TEMPOMAT, 12.850 €,Teharska cesta 101,črna,črna / blago,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,167000,2018,undefined,96 kW ,131 KM
Renault Megane GT Line 1.5 dCi 110 - slovensko poreklo, 5.900 €,3320 Velenje,črna metalik,temno siva / delno usnje,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,177000,2011,1,81 kW ,110 KM
Renault Megane 1.5 dCi KLIMA-ALU PLATIŠČA-SLOVENSKI-ZELO LEP, 1.490 €,Vrhniška cesta 25,črna,črna / blago,5 vr.,karavan,ročni menjalnik (5 pr.),diesel motor,rabljeno,239003,2006,7,63 kW ,86 KM
Renault Megane TCe 115 FAP LIMITED|1.LASTNIK |12M JAMSTVO, 13.950 €,LETALIŠKA CESTA 12,srebrna metalik,črna / blago,5 vr.,karavan,ročni menjalnik (6 pr.),bencinski motor,rabljeno / ima jamstvo,80250,2020,1,85 kW ,116 KM
Renault Megane Energy 1.5 dCi, 8.500 €,9000 Murska Sobota,srebrna,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,219617,2017,11,81 kW ,110 KM
Renault Megane Dynamique 1.5 dCi 110 ECO2, 4.690 €,1210 Ljubljana - Šentvid,rdeča,temno siva / alcantara,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,153500,2010,11,81 kW ,110 KM
Renault Megane AUTHENTIQUE 1.6 16v, 1.450 €,6210 Sežana,metalik,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,145000,2001,11,79 kW ,107 KM
Renault Megane Generation 1.6 16V, 4.200 €,8250 Brežice,,/,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,213000,2014,12,81 kW ,110 KM
Renault Megane CABRIO 1.9dCi PRIVILEGE LUXE SLO 143.000km PDC ALU, 3.300 €,Kurirska pot 4,svetlo siva metalik,/,2 vr.,cabriolet,ročni menjalnik (6 pr.),diesel motor,rabljeno,143000,2005,3,88 kW ,120 KM
Renault Megane 1.6 16V PRIVILEGE , 1.400 €,1000 Ljubljana,zlata metalik,bela / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (5 pr.),bencinski motor,rabljeno,230000,2006,9,82 kW ,111 KM
